INFO 2026-04-21 12:56:50,288 autoreload 31916 32168 Watching for file changes with StatReloader
WARNING 2026-04-21 13:47:48,602 basehttp 28652 23656 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,602 basehttp 28652 27388 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,603 log 28652 29320 Not Found: /static/rest_framework/js/load-ajax-form.js
WARNING 2026-04-21 13:47:48,604 basehttp 28652 5128 "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,605 basehttp 28652 29320 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,256 exceptions 28652 23652 Request Error: LoginView - 405 - Método "GET" no permitido.
WARNING 2026-04-21 13:47:50,260 log 28652 23652 Method Not Allowed: /api/auth/login/
WARNING 2026-04-21 13:47:50,260 basehttp 28652 23652 "GET /api/auth/login/ HTTP/1.1" 405 5562
WARNING 2026-04-21 13:47:50,275 log 28652 23652 Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2026-04-21 13:47:50,275 basehttp 28652 23652 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,276 log 28652 29580 Not Found: /static/rest_framework/css/prettify.css
WARNING 2026-04-21 13:47:50,276 log 28652 14560 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2026-04-21 13:47:50,277 log 28652 28660 Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2026-04-21 13:47:50,277 log 28652 288 Not Found: /static/rest_framework/css/default.css
WARNING 2026-04-21 13:47:50,278 log 28652 26168 Not Found: /static/rest_framework/js/jquery-3.7.1.min.js
WARNING 2026-04-21 13:47:50,279 log 28652 23652 Not Found: /static/rest_framework/js/csrf.js
WARNING 2026-04-21 13:47:50,280 basehttp 28652 14560 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,280 basehttp 28652 29580 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,280 basehttp 28652 288 "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,280 basehttp 28652 28660 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,281 basehttp 28652 26168 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:50,281 basehttp 28652 23652 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
